date,symbol,company_name,market_cap,market_cap_text,source_url
1985-05-31,AIG,AIG,5004000000.0,$5.004B,https://www.finhacker.cz/en/stocks/american-international-group-market-cap/
1985-05-31,AMD,Advanced Micro Devices,1476000000.0,$1.476B,https://www.finhacker.cz/en/stocks/advanced-micro-devices-market-cap/
1985-05-31,AMGN,Amgen,83629000.0,$83.629M,https://www.finhacker.cz/en/stocks/amgen-market-cap/
1985-05-31,BA,Boeing,6456000000.0,$6.456B,https://www.finhacker.cz/en/stocks/boeing-market-cap/
1985-05-31,DIS,Walt Disney,2876000000.0,$2.876B,https://www.finhacker.cz/en/stocks/walt-disney-market-cap/
1985-05-31,FNMA,Fannie Mae,1277000000.0,$1.277B,https://www.finhacker.cz/en/stocks/fannie-mae-market-cap/
1985-05-31,GE,General Electric,16514000000.0,$16.514B,https://www.finhacker.cz/en/stocks/ge-aerospace-market-cap/
1985-05-31,HD,Home Depot,412000000.0,$0.412B,https://www.finhacker.cz/en/stocks/home-depot-market-cap/
1985-05-31,IBM,IBM,75281000000.0,$75.281B,https://www.finhacker.cz/en/stocks/international-business-machines-market-cap/
1985-05-31,INTC,Intel,3001000000.0,$3.001B,https://www.finhacker.cz/en/stocks/intel-market-cap/
1985-05-31,JNJ,Johnson & Johnson,8595000000.0,$8.595B,https://www.finhacker.cz/en/stocks/johnson-johnson-market-cap/
1985-05-31,JPM,JPMorgan Chase,1960000000.0,$1.96B,https://www.finhacker.cz/en/stocks/jpmorgan-chase-market-cap/
1985-05-31,K-202512,Kellogg Company,3365000000.0,$3.365B,https://www.finhacker.cz/en/stocks/kellanova-market-cap/
1985-05-31,KO,Coca-Cola,8889000000.0,$8.889B,https://www.finhacker.cz/en/stocks/coca-cola-market-cap/
1985-05-31,LLY,Eli Lilly,6140000000.0,$6.14B,https://www.finhacker.cz/en/stocks/eli-lilly-market-cap/
1985-05-31,MCD,McDonald’s,5729000000.0,$5.729B,https://www.finhacker.cz/en/stocks/mcdonalds-market-cap/
1985-05-31,MMM,3M,8767000000.0,$8.767B,https://www.finhacker.cz/en/stocks/3m-market-cap/
1985-05-31,MO,Altria Group,10434000000.0,$10.434B,https://www.finhacker.cz/en/stocks/altria-group-market-cap/
1985-05-31,MRK,Merck,7815000000.0,$7.815B,https://www.finhacker.cz/en/stocks/merck-market-cap/
1985-05-31,MU,Micron Technology,157000000.0,$0.157B,https://www.finhacker.cz/en/stocks/micron-technology-market-cap/
1985-05-31,PEP,PepsiCo,5605000000.0,$5.605B,https://www.finhacker.cz/en/stocks/pepsico-market-cap/
1985-05-31,PFE,Pfizer,7615000000.0,$7.615B,https://www.finhacker.cz/en/stocks/pfizer-market-cap/
1985-05-31,PG,Procter & Gamble,8937000000.0,$8.937B,https://www.finhacker.cz/en/stocks/procter-gamble-market-cap/
1985-05-31,SLB,Schlumberger,11429000000.0,$11.429B,https://www.finhacker.cz/en/stocks/schlumberger-market-cap/
1985-05-31,T,AT&T,5983000000.0,$5.983B,https://www.finhacker.cz/en/stocks/att-market-cap/
1985-05-31,UNH,UnitedHealth Group,72324000.0,$72.324M,https://www.finhacker.cz/en/stocks/unitedhealth-group-market-cap/
